uid,species,gene_names,description,term_ids,gene_display_name,color
5433,ath,AT5G08100|ASPGA1|asparaginase A1|T22D6.40|T22D6_40,increased sensitivity to inhibition of root elongation by exogenous asparagine. Increased sensitivity to delay in root hair emergence in response to exogenous asparagine. Increased accumulation of asparagine in root when grown on medium containing asparagine as a single nitrogen source. Increased seed size under conditions of nitrogen deficiency. Increased concentration of free asparagine and other free amino acids in seed when grown under low illumination. increased sensitivity to inhibition of root elongation by exogenous asparagine; increased  accumulation of asparagine in root on asparagine-containing  medium; increased seed size under conditions of nitrogen deficiency; increased concentration of free asparagine and other free amino acids in seed when grown under low illumination.,GO:0005829|GO:0004067|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007006,AT5G08100,#DAF7A6
4149,ath,AT1G45616|RLP6|AtRLP6|receptor like protein 6|AT1G45616.1|F2G19.6|F2G19_6,No visible phenotype.,GO:0016020|GO:0007165|PO:0009025|PO:0000293,AT1G45616,#DAF7A6
1850,ath,At3g21640|UCU2|AT3G21640|TWD1|FKBP42|ATFKBP42|TWISTED DWARF 1|ULTRACURVATA 2|FK506-BINDING PROTEIN 42|MIL23.21,Rolled leaves.,GO:0005886|GO:0005516|GO:0048366|GO:0005515|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0020094|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At3g21640,#DAF7A6
6121,ath,EMB1293,embryo defective; terminal embryo phenotype: zygotic/preglobular stage.,GO:0003674|GO:0005575|GO:0008150,EMB1293,#DAF7A6
7304,ath,GAR8,"essentially normal growth (gai dwarf phenotype is largely suppressed); an phenotype: narrow leaves, slightly twisted siliques.",GO:0005575|GO:0009739|GO:0003674,GAR8,#DAF7A6
2390,ath,At1g60950|AtFD2,Lower dry weight. Lower fresh weight. Pale leaves. Rounded leaves. Slow growth. Thin leaves. Yellow-green leaves.,,At1g60950,#DAF7A6
7173,ath,EMB2708,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0003674|GO:0005575|GO:0008150,EMB2708,#DAF7A6
4151,ath,AT1G47056|VFB1|VIER F-box proteine 1|F2G19.16|F2G19_16,"Defects in lateral root formation, delayed root elongation and delayed plant growth. Reduced cell size.",PO:0002000|PO:0009005|PO:0009025|PO:0009031|PO:0000293|PO:0007131,AT1G47056,#DAF7A6
1901,ath,At1g63680|PDE316|AT1G63680|MURE|ATMURE|APG13|PIGMENT DEFECTIVE EMBRYO 316|ALBINO OR PALE-GREEN 13|F24D7.13|F24D7_13,"Seedling lethal (inferred from pigment defect). white seedlings (albino/albina), lethal. Pale seeds and seedlings.",GO:0010020|GO:0009295|GO:0009658|GO:0009507|PO:0000013|PO:0000037|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000229|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007098|PO:0007115|PO:0007611|PO:0007616,At1g63680,#DAF7A6
1454,ath,At2g41110|CAM2|AT2G41110|ATCAL5|calmodulin 2|T3K9.12|T3K9_12|CALMODULIN 2|AT2G41110.1,Male gametophyte defective.,GO:0005515|GO:0009846|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000005|PO:0025195|PO:0000003|PO:0000014|PO:0009001|PO:0009049|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017|PO:0007131,At2g41110,#DAF7A6
5218,ath,AT4G21534|SPHK2|sphingosine kinase 2,No visible phenotype.,GO:0017050|GO:0009737|GO:0070300|PO:0000293,AT4G21534,#DAF7A6
7529,ath,PNT2,embryo defective; embryos are radially swollen with reduced cellulose content; mature seeds have somewhat peanut-fruit shape; segregation distortion due to a reduced transmission through pollen.,GO:0006506|GO:0003674|GO:0005575,PNT2,#DAF7A6
2177,ath,At5g37055|SEF|AT5G37055|ATSWC6|SERRATED LEAVES AND EARLY FLOWERING,"Early flowering. Increased petal number. Serrated leaves. Small siliques. early flowering, leaf serration, production of extral petals, weak apical dominance.",GO:0005515|GO:0042742|GO:0042802|GO:0048638|GO:0005634|GO:0009909|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000014|PO:0009049|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,At5g37055,#DAF7A6
4088,ath,AT1G26260|CIB5|cryptochrome-interacting basic-helix-loop-helix 5|F28B23.8|F28B23_8,"cib1 or cib5 single mutant shows no obvious phenotype, and cib1cib5 double mutant showed a mild but statistically significant delay of flowering under a photoperiodic inductive condition (plants were grown in short-day photoperiod (9h light/15h dark) for 20 days and transfered to long-day photoperiod (16h light/ 8h dark) for 4 days, and removed back to short-day to continue grow until flowering.",GO:0009911|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020038|PO:0020100|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT1G26260,#DAF7A6
6952,ath,EMB2399,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0005575|GO:0008150|GO:0003674,EMB2399,#DAF7A6
6295,ath,EMB1509,embryo defective; terminal embryo phenotype: transition stage.,GO:0005575|GO:0003674|GO:0008150,EMB1509,#DAF7A6
6692,ath,EMB2038,embryo defective; terminal embryo phenotype: globular stage.,GO:0005575|GO:0003674|GO:0008150,EMB2038,#DAF7A6
5194,ath,AT4G18950|BHP|BLUE LIGHT-DEPENDENT H+-ATPASE PHOSPHORYLATION|F13C5.120|F13C5_120|AT4G18950.1,No visible phenotype.,GO:0005737|GO:0005634|GO:0005829|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000005|PO:0025195|PO:0000293|PO:0000003|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001017,AT4G18950,#DAF7A6
5011,ath,AT3G56830|AT3G56830.1|T8M16.160,WT phenotype morphologically and with respect to nonphotochemical quenching.,GO:0009507|GO:0008150|GO:0003674|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT3G56830,#DAF7A6
2610,ath,At5g13930|TT4|AT5G13930|CHS|ATCHS|CHALCONE SYNTHASE|TRANSPARENT TESTA 4|MAC12.28|MAC12_28|CHALCONE/STILBENE SYNTHASE|NARINGENIN-CHALCONE SYNTHASE|AT5G13930.1,"Yellow seed coat. yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems, lacks flavonols. Colorless seed coat. yellow seeds due to absence of brown pigment in seed coat (testa); pollen has a characteristic lemon-yellow color; anthocyanins absent in leaves, stems and all tissues, this is conspicuous in older plants when chlorophyll starts breaking down, and mutant plants are yellowish; deficient in chalcone synthase activity and lacks flavonoids. double mutant; disruption of the synthesis of brown pigment in seed coat (testa); yellow seeds. double mutant; altered phenylpropanoid metabolism; disruption of the synthesis of brown pigment in seed coat (testa), yellow seeds. yellow seeds (lacks brown pigment in seed coat), lacks anthocyanin in leaves and stems. pale yellow seeds, no flavonoid in tapetum cells.",GO:0009715|GO:0009705|GO:0009813|GO:0009926|GO:0005634|GO:0009629|GO:0009611|GO:0006979|GO:0016210|GO:0005515|GO:0009733|GO:0010224|GO:0005783|GO:0009753|GO:0031540|PO:0000013|PO:0000037|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0009001|PO:0000293|PO:0025181|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001170,At5g13930,#DAF7A6
2430,ath,At1g19300|PARVUS|AT1G19300|GATL1|GLZ1|ATGATL1|GALACTURONOSYLTRANSFERASE-LIKE 1|GAOLAOZHUANGREN 1|F18O14.2|F18O14_2,"Fragile inflorescence stems. Short inflorescence stems. Small rosette. Dark-green leaves; reduced plant stature; reduced size of all organs, including leaves, floral organs and fruits (the size reduction of all organs is due to the reduction of both cell size and cell number). Morphology of young seedlings is indistinguishable compared to wild type, including the size of cotyledons and the length of roots; the earliest difference in leaf size and leaf color is detected when the first pair of rosette leaves is expanding  at a time when photoassimilates are transported from the cotyledons to new leaves. Reduced fertility (caused in part by a severe reduction of pollen grains at higher temperature); temperature sensitive: at 23C, plants produce small siliques containing a few seeds each, whereas at 28C, plants are completely sterile. At flowering, the mutants  achieve a rosette diameter ca. 30% that of wild-type  plants and an inflorescence stem height ca. 20% that  of wild-type plants. Flowers are also significantly smaller than wild-type ones and have anthers that are almost completely non-dehiscent and fail to extend above the level of the stigma in fully open flowers. . No differences with respect to the frequency or timing of germination on soil, either in full light or in total darkness, and the rate and extent of hypocotyl elongation in dark-grown parvus seedlings are indistinguishable from that of wild-type seedlings. . Pollen grains from mutant anthers showed less than 0.5% germination in vitro in pollen growth medium, compared with 7% germination for wild-type Ler pollen. . Seed set is greatly reduced in parvus plants  and most siliques either fail to develop or contain few (3-10) seeds. The phenotype of the parvus mutant is almost indistinguishable from that of wild-type plants when grown in vitro on agar. However, when grown in soil, parvus mutants are distinguished from wild-type plants after about 3 weeks due to their slightly narrower, darker green leaves. . pavement cells, stomatal guard cells and trichomes, on the adaxial and abaxial surface of mature mutant leaves are morphologically indistinguishable from those of wild-type leaves but are smaller in the parvus mutant (ca. 60% of wild type) .",GO:0032504|GO:0048366|GO:0052386|GO:0005783|GO:0010417|GO:0010051|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000272|PO:0000274|PO:0000372|PO:0005352|PO:0005848|PO:0000146|PO:0000282|PO:0006202|PO:0009066|PO:0009067|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At1g19300,#DAF7A6
7380,ath,MOP2,deficiencies in post-transcriptional regulation of PIN genes. Defects in auxin-controlled growth responses as well as root and shoot development.,GO:0010015|GO:0010016|GO:0009926,MOP2,#DAF7A6
7250,ath,EMB59,"developmental arrest of mutant embryos occurs at cotyledon stage (distorted, fused cotyledons); pale yellow-green to green seeds; pale yellow-green to green embryo; 24% mutant; 56% aborted seeds in top half of silique.",GO:0009793|GO:0005575|GO:0003674,EMB59,#DAF7A6
7266,ath,EMB90,developmental arrest of mutant embryos occurs at globular-heart stage; white seeds; white embryo; 26.5% mutant; 49.1% aborted seeds in top half of silique.,GO:0009793|GO:0003674|GO:0005575,EMB90,#DAF7A6
7174,ath,EMB2709,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0008150|GO:0005575|GO:0003674,EMB2709,#DAF7A6
6883,ath,EMB2305,embryo defective; terminal embryo phenotype: transition stage.,GO:0003674|GO:0008150|GO:0005575,EMB2305,#DAF7A6
535,ath,At3g57860|OSD1|AT3G57860|UVI4-LIKE|GIG1|UV-B-insensitive 4-like|OMISSION OF SECOND DIVISION|GIGAS CELL 1|T10K17.70,"Dyad pollen. Increased ploidy levels. produces diploid gametes by skipping the second meiotic division. No double homozygous mutants recovered. In reciprocal crosses both pans1/+ osd1/+ F1 plants were obtained indicating that both male and female pans1 osd1 gametes are viable and functional and that therefore the synthetic lethality is a sporophytic pheno- type. However in the pans1/+ osd1/+ X WT cross, there is a small but significant reduction in seed set (6.9 ± 1.3 missing seeds per silique) when compared to wild type.",GO:0005515|GO:0007113|GO:0040020|GO:0007088|GO:0005634|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,At3g57860,#DAF7A6
4859,ath,AT3G20400,embryo defective.,GO:0003674,AT3G20400,#DAF7A6
2218,ath,At1g25490|RCN1|AT1G25490|REGA|ATB BETA BETA|EER1|ROOTS CURL IN NPA|ENHANCED ETHYLENE RESPONSE 1|F2J7.19|F2J7_19|SERINE/THREONINE PROTEIN PHOSPHATASE TYPE 2A REGULATORY SUBUNIT A|PHOSPHOPROTEIN PHOSPHATASE 2A REGULATORY SUBUNIT A|AT1G25490.1,"Abnormal apical hook in the dark. Short hypocotyl. Short roots. Slightly reduced root curling. decreased root and hypocotyl elongation in dark grown seedlings; apical hypocotyl hook defect (a partial hook forms); irregular waving and reversed slant in root waving assay; increased sensitivity to phosphatase inhibitors cantharidin and okadaic acid. Length of ron3-2 rcn1 primary root significantly shorter than parentals. Lateral root density of ron3-2 rcn1 is partially restored compared with ron3-2. Apical dominance  partially restored in the ron3-2 rcn1 double mutant. The ron3 mutation inhibited growth of primary and lateral roots and apical dominance, implying that ron3 is epistatic to rcn1 for these parameters. The internalization of PIN1 and PIN2 is significantly reduced in the double mutant compared to either parental line.",GO:0009723|GO:0005634|GO:0005618|GO:0005515|GO:0005886|GO:0035304|GO:0008601|GO:0009926|GO:0009789|GO:0010119|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000005|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,At1g25490,#DAF7A6
7516,ath,PDE289,pigment defective embryo; pale mature embryo.,GO:0003674|GO:0008150|GO:0005575,PDE289,#DAF7A6
5123,ath,AT4G10030|ABHD11|Alpha/beta hydrolase domain 11|T5L19.160|T5L19_160,abhd11 plants showed an early bolting and higher rate of growth as compared with wild-type plants.,PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT4G10030,#DAF7A6
2458,ath,At5g13320|PBS3|AT5G13320|GDG1|WIN3|GH3.12|AtGH3.12|AVRPPHB SUSCEPTIBLE 3|GH3-LIKE DEFENSE GENE 1|HOPW1-1-INTERACTING 3|GRETCHEN HAGEN 3.12|T22N19.5,"Susceptible to avirulent bacteria. Fail to accumulate salicylic acid in response to both virulent and avirulent pathogen. Increased susceptibility to virulent Pseudomonas syringae pv. tomato strains and to P. syringae DC3000 carrying avrRpt2, avrB, avrRps4 or avrPphB resulting in chlorosis and water-soaked lesions after infection. Susceptible to specific strains of P. syringae.",PO:0009009|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009047|PO:0009052|PO:0025022|PO:0025281|PO:0000293|PO:0001185|PO:0007123|PO:0007611|PO:0007616,At5g13320,#DAF7A6
5412,ath,AT5G04960|PME46|PECTIN METHYLESTERASE46|MUG13.18|MUG13_18,PME enzyme activity was elevated in the roots compared with the wild type.,PO:0009005|PO:0009046|PO:0000256|PO:0000262,AT5G04960,#DAF7A6
5945,ath,EMB1074,embryo defective; terminal embryo phenotype: globular stage.,GO:0008150|GO:0005575|GO:0003674,EMB1074,#DAF7A6
4579,ath,AT2G35160|SUVH5|SGD9|SU(VAR)3-9 homolog 5|SET DOMAIN-CONTAINING PROTEIN 9|T4C15.17|T4C15_17,"The suvh5 single mutant has no obvious morphological defects or changes in histone or DNA methylation patterning, due to redundancy with suvh4 and suvh6. The suvh4 suvh5 suvh6 triple mutant has no obvious morphological defects, but displays loss of  DNA methylation in non-CG sequence contexts similar to a cmt3 null mutant, and loss of both mono- and di-methylation of H3 K9 at heterochromatic sequences.",GO:0031048|GO:0016571|GO:0010200|GO:0010216|GO:0042054|PO:0000037|PO:0009005|PO:0009009|PO:0009010|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020100|PO:0025022|PO:0000084|PO:0025281|PO:0000293|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007611|PO:0007616|PO:0001017,AT2G35160,#DAF7A6
4023,ath,AT1G17065,"Longer hypocotyls in light and dark conditions. Double mutant of BAS1 and SOB both of which are null alleles. Less responsive to light as measured by hypocotyl elongation and enhanced cotyledon expansion in red, blue and far red light meaning they are less responsive. Early flowering. Increased levels of 6-deoxotyphasterol and cataseterone, which are products of the brassiolide pathway.",,AT1G17065,#DAF7A6
5858,ath,CIR3,Constitutive expression of the marker gene PR-1::luciferase in the absence of pathogen infection; enhanced resistance to the necrotrophic pathogen Botrytis cinerea; cir3-mediated resistance to B. cinerea is dependent on accumulated salicylic acid and a functional EIN2 protein.,GO:0003674|GO:0005575|GO:0006952,CIR3,#DAF7A6
6139,ath,EMB1311,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0003674|GO:0008150|GO:0005575,EMB1311,#DAF7A6
6967,ath,EMB2427,embryo defective; terminal embryo phenotype: variable.,GO:0005575|GO:0008150|GO:0003674,EMB2427,#DAF7A6
1903,ath,At2g24120|PDE319|AT2G24120|SCA3|PIGMENT DEFECTIVE 319|SCABRA 3|F27D4.3|F27D4_3,Seedling lethal (inferred from pigment defect).,GO:0005739|GO:0005515|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007057,At2g24120,#DAF7A6
6993,ath,EMB2467,embryo defective; terminal embryo phenotype: cotyledon stage.,GO:0005575|GO:0008150|GO:0003674,EMB2467,#DAF7A6
5466,ath,AT5G12230|MED19A|MXC9.19|MXC9_19,No visible phenotype.,GO:0003674|GO:0016592|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017,AT5G12230,#DAF7A6
6299,ath,EMB1512,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0005575|GO:0003674|GO:0008150,EMB1512,#DAF7A6
6747,ath,EMB2114,embryo defective; terminal embryo phenotype: transition stage.,GO:0005575|GO:0003674|GO:0008150,EMB2114,#DAF7A6
6664,ath,EMB1994,embryo defective; terminal embryo phenotype: zygotic/preglobular stage.,GO:0008150|GO:0003674|GO:0005575,EMB1994,#DAF7A6
6902,ath,EMB2329,embryo defective; terminal embryo phenotype: globular stage.,GO:0008150|GO:0003674|GO:0005575,EMB2329,#DAF7A6
5491,ath,AT5G16180|CRS1|ATCRS1|ortholog of maize chloroplast splicing factor CRS1|ARABIDOPSIS ORTHOLOG OF MAIZE CHLOROPLAST SPLICING FACTOR CRS1|T21H19.100|T21H19_100,"Ivory, small. variegated.",GO:0000373|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616,AT5G16180,#DAF7A6
882,ath,At2g32590|EMB2795|AT2G32590|EMBRYO DEFECTIVE 2795|T26B15.15|T26B15_15,Embryo defective-Preglobular.,GO:0005737|GO:0000793|PO:0000037|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000084|PO:0000293|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007098|PO:0007103|PO:0007115|PO:0007611|PO:0007616,At2g32590,#DAF7A6
1957,ath,At5g54770|TZ|AT5G54770|THI1|THI4|THIAZOLE REQUIRING|THIAMINE4|MBG8.3|MBG8_3|THI1 PROTEIN|AT5G54770.1,"Seedling lethal without exogenous thiamine. leaves but not cotyledons white, conditional lethal, 4-methyl-5-hydroxyethyl-thiazole or thiamine restores to normal. leaves but not cotyledons white, conditional lethal, 4-methyl-5-hydroxyethyl-thiazole or thiamine restores to normal; yellow seeds (lacks brown pigment in seed coat). leaves but not cotyledons white, conditional lethal, 4-methyl-5-hydroxyethyl-thiazole or thiamine restores to normal; trichomes absent on leaves and stems, some trichomes in leaf margins. leaves but not cotyledons white, conditional lethal, 4-methyl-5-hydroxyethyl-thiazole or thiamine restores to normal; no trichomes on early leaves, number of trichomes increases on later leaves, concentrating at the leaf margins. true leaves of unsupplemented plants pale/white, altered steryl-ester metabolism.",GO:0042803|GO:0009570|GO:0009409|GO:0010319|GO:0009507|GO:0009941|GO:0005739|GO:0008270|GO:0006974|GO:0009579|GO:0018131|GO:0009228|PO:0009025|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131|PO:0001170,At5g54770,#DAF7A6
61,ath,At3g52280|GTE6|AT3G52280|general transcription factor group E6|T25B15.50,"Abnormal leaf shape. Round, shorter leaves. Defect in transition from juvenile to adult leaf shape.",GO:0005634|GO:0006338|GO:0004402|PO:0000293,At3g52280,#DAF7A6
5262,ath,AT4G25820|XTH14|XTR9|ATXTH14|xyloglucan endotransglycosylase 9|xyloglucan endotransglucosylase/hydrolase 14|F14M19.100|F14M19_100,No visible phenotype.,PO:0009005|PO:0020031|PO:0000256|PO:0000262,AT4G25820,#DAF7A6
4545,ath,"AT2G30750|CYP71A12|cytochrome P450, family 71, subfamily A, polypeptide 12|T11J7.14|T11J7_14","When camalexin was determined two days after infection with <i>Pseudomonas syringae</i>, no reduction in camalexin levels relative to wild-type plants was observed.",GO:0009617|GO:0009682|PO:0009029|PO:0009047|PO:0000293|PO:0007616,AT2G30750,#DAF7A6
6585,ath,EMB1847,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0003674|GO:0005575|GO:0008150,EMB1847,#DAF7A6
6855,ath,EMB2260,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0008150|GO:0005575|GO:0003674,EMB2260,#DAF7A6
6753,ath,EMB2123,embryo defective; terminal embryo phenotype: globular stage.,GO:0008150|GO:0005575|GO:0003674,EMB2123,#DAF7A6
907,ath,At5g50390|EMB3141|AT5G50390|EMBRYO DEFECTIVE 3141|MXI22.11|MXI22_11,Embryo defective-Preglobular.,GO:0008150|PO:0000037|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020100|PO:0025022|PO:0000293|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007611|PO:0007616,At5g50390,#DAF7A6
6806,ath,EMB2190,embryo defective; terminal embryo phenotype: preglobular stage.,GO:0003674|GO:0008150|GO:0005575,EMB2190,#DAF7A6
